group,ebird_code
CUPS,chispa
CUPS,amtspa
SWLI,swaspa
SWLI,linspa
SFHS,foxspa
SFHS,sonspa
SFHS,harspa
SFHS,gocspa
SFHS,whtspa
HSSP,graspa
HSSP,vesspa
HSSP,whcspa
HSSP,seaspa
SBUF,yerwar
SBUF,palwar
SBUF,btbwar
SBUF,prowar
SBUF,swawar
SBUF,ovenbi1
SBUF,buwwar
SBUF,gowwar
DESP,fiespa
DESP,nstspa
DESP,sstspa
DESP,lecspa
DESP,henspa
DESP,bacspa
DESP,savspa
DEWA,yetwar
DEWA,norpar
DEWA,pinwar
BUNT,indbun
BUNT,blugrb1
BUNT,paibun
BUNT,lazbun
BUNT,varbun
TANA,scatan
TANA,sumtan
TANA,westan
GROS,robgro
GROS,bkhgro
THSH,veery
THSH,swathr
THSH,woothr
THSH,herthr
GCBI,gycthr
GCBI,bicthr
ZEEP,norwat
ZEEP,louwat
ZEEP,kenwar
ZEEP,magwar
ZEEP,babwar
ZEEP,bkbwar
ZEEP,bkpwar
ZEEP,conwar
ZEEP,yelwar
ZEEP,cerwar
ZEEP,woewar1
ZEEP,camwar
ZEEP,refwar
DBUP,tenwar
DBUP,naswar
DBUP,orcwar
DBUP,btnwar
DBUP,gchwar
DBUP,herwar
DBUP,towwar
DBUP,lucwar
DBUP,virwar
DBUP,colwar
DBUP,grawar
DBUP,btywar
BZWA,chswar
BZWA,kirwar
BZWA,hoowar
BZWA,comyel
BLUEB,easblu
BLUEB,wesblu
BLUEB,moublu
CCBRS,clcspa
CCBRS,brespa
MWAR,macwar
MWAR,mouwar
WITH,dusthr2
WITH,dusthr1
WITH,retthr1
WITH,datthr1